LeadID,Address,Owner,PrimaryPhone,PhonesCount,PrimaryEmail,EmailsCount,HasDNC,Cached
dup-test-42,"113 Elgin Ave"," Collingswood",+1-555-1019,3,duptest42@example.com,1,0,1
dup-test-43,"113 Elgin Ave"," Collingswood",,0,duptest43@example.com,1,0,1
dup-test-44,"113 Elgin Ave"," Collingswood",,0,duptest44@example.com,1,0,0
dup-test-45,"113 Elgin Ave"," Collingswood",+1-555-6442,1,duptest45@example.com,2,0,1
dup-test-46,"113 Elgin Ave"," Collingswood",+1-555-5094,2,duptest46@example.com,2,0,0
dup-test-47,"113 Elgin Ave"," Collingswood",,0,duptest47@example.com,1,0,0
dup-test-48,"113 Elgin Ave"," Collingswood",+1-555-9094,1,duptest48@example.com,1,0,0
dup-test-49,"113 Elgin Ave"," Collingswood",+1-555-8891,1,duptest49@example.com,1,0,0
dup-test-50,"113 Elgin Ave"," Collingswood",+1-555-7234,1,duptest50@example.com,1,0,0
dup-test-51,"113 Elgin Ave"," Collingswood",+1-555-5882,1,duptest51@example.com,2,0,1
dup-test-52,"113 Elgin Ave"," Collingswood",+1-555-8197,1,duptest52@example.com,1,0,1
dup-test-53,"113 Elgin Ave"," Collingswood",+1-555-2403,3,duptest53@example.com,1,0,0
dup-test-54,"113 Elgin Ave"," Collingswood",+1-555-7545,2,,0,0,1
dup-test-55,"113 Elgin Ave"," Collingswood",+1-555-1746,1,duptest55@example.com,2,0,0
dup-test-56,"113 Elgin Ave"," Collingswood",+1-555-3030,2,duptest56@example.com,2,0,0
dup-test-57,"113 Elgin Ave"," Collingswood",+1-555-3729,3,duptest57@example.com,1,1,0
dup-test-58,"113 Elgin Ave"," Collingswood",,0,,0,0,0
dup-test-59,"113 Elgin Ave"," Collingswood",+1-555-7426,1,duptest59@example.com,2,0,0
dup-test-60,"113 Elgin Ave"," Collingswood",+1-555-7436,1,duptest60@example.com,1,0,0
dup-test-61,"113 Elgin Ave"," Collingswood",+1-555-6518,2,duptest61@example.com,1,0,0
dup-test-62,"113 Elgin Ave"," Collingswood",+1-555-7000,3,duptest62@example.com,2,0,0
dup-test-63,"113 Elgin Ave"," Collingswood",+1-555-4205,1,duptest63@example.com,2,0,1
dup-test-64,"113 Elgin Ave"," Collingswood",+1-555-3532,1,duptest64@example.com,2,0,1
dup-test-65,"113 Elgin Ave"," Collingswood",+1-555-7697,3,duptest65@example.com,1,0,0
dup-test-66,"113 Elgin Ave"," Collingswood",+1-555-1124,1,,0,0,0
dup-test-67,"113 Elgin Ave"," Collingswood",+1-555-3901,1,duptest67@example.com,1,0,0
dup-test-68,"113 Elgin Ave"," Collingswood",+1-555-3021,1,duptest68@example.com,1,0,0
dup-test-69,"113 Elgin Ave"," Collingswood",+1-555-2798,1,duptest69@example.com,2,1,0
dup-test-70,"113 Elgin Ave"," Collingswood",+1-555-2901,3,duptest70@example.com,2,0,1
dup-test-71,"113 Elgin Ave"," Collingswood",+1-555-2940,2,duptest71@example.com,2,0,0
dup-test-72,"113 Elgin Ave"," Collingswood",,0,duptest72@example.com,2,0,0
dup-test-73,"113 Elgin Ave"," Collingswood",+1-555-8818,1,duptest73@example.com,1,1,0
dup-test-74,"113 Elgin Ave"," Collingswood",+1-555-7022,1,,0,0,1
dup-test-75,"113 Elgin Ave"," Collingswood",+1-555-7484,1,duptest75@example.com,1,0,0
dup-test-76,"113 Elgin Ave"," Collingswood",+1-555-8278,1,,0,0,0
dup-test-77,"113 Elgin Ave"," Collingswood",+1-555-9940,2,duptest77@example.com,1,1,0
dup-test-78,"113 Elgin Ave"," Collingswood",+1-555-5615,2,duptest78@example.com,1,0,0
dup-test-79,"113 Elgin Ave"," Collingswood",+1-555-4489,3,duptest79@example.com,1,0,0
dup-test-80,"113 Elgin Ave"," Collingswood",,0,duptest80@example.com,2,0,1
dup-test-81,"113 Elgin Ave"," Collingswood",+1-555-2508,2,duptest81@example.com,1,0,0
dup-test-82,"113 Elgin Ave"," Collingswood",+1-555-9400,1,duptest82@example.com,2,1,0
dup-test-83,"113 Elgin Ave"," Collingswood",+1-555-7162,1,duptest83@example.com,1,0,0
dup-test-84,"113 Elgin Ave"," Collingswood",+1-555-3017,2,duptest84@example.com,2,0,1
dup-test-85,"113 Elgin Ave"," Collingswood",+1-555-3508,3,duptest85@example.com,2,1,0
dup-test-86,"113 Elgin Ave"," Collingswood",+1-555-5343,3,,0,0,1
dup-test-87,"113 Elgin Ave"," Collingswood",,0,,0,0,0
dup-test-88,"113 Elgin Ave"," Collingswood",,0,duptest88@example.com,2,0,1
dup-test-89,"113 Elgin Ave"," Collingswood",+1-555-7576,3,duptest89@example.com,1,0,1
dup-test-90,"113 Elgin Ave"," Collingswood",+1-555-6046,1,duptest90@example.com,2,0,0
dup-test-91,"113 Elgin Ave"," Collingswood",+1-555-9996,2,duptest91@example.com,1,0,0
dup-test-92,"113 Elgin Ave"," Collingswood",+1-555-3000,3,duptest92@example.com,2,0,1
dup-test-93,"113 Elgin Ave"," Collingswood",+1-555-4170,1,duptest93@example.com,2,1,0
dup-test-94,"113 Elgin Ave"," Collingswood",+1-555-2792,1,,0,0,0
dup-test-95,"113 Elgin Ave"," Collingswood",+1-555-6095,3,duptest95@example.com,2,0,0
dup-test-96,"113 Elgin Ave"," Collingswood",+1-555-1451,3,duptest96@example.com,2,0,1
dup-test-97,"113 Elgin Ave"," Collingswood",+1-555-1597,3,duptest97@example.com,1,0,0
dup-test-98,"113 Elgin Ave"," Collingswood",+1-555-2129,1,duptest98@example.com,2,0,0
dup-test-99,"113 Elgin Ave"," Collingswood",,0,duptest99@example.com,2,0,0
dup-test-100,"113 Elgin Ave"," Collingswood",,0,duptest100@example.com,2,0,0
